점수
21.3
50.5
28.4
10.7
6.2
22.6
52.4
18.0
85.0
43.1
9.1
52.5
8.8
47.0
32.0
9.1
19.7
77.4
11.5
39.9
31.1
17.2
27.5
0.0
54.5
41.1
27.6
24.8
17.9
16.7
30.5
18.1
60.3
90.5
61.8
42.7
12.9
80.2
68.0
95.1
46.5
18.4
19.2
18.6
4.1
31.5
33.3
24.6
38.4
89.2
37.7
16.3
24.8
26.5
18.0
26.7
62.9
25.9
37.4
55.9
17.3
13.6
9.9
17.6
42.6
58.3
25.9
72.8
3.7
12.8
12.7
36.7
33.2
7.6
77.1
5.7
9.6
84.0
52.3
8.5
14.7
13.7
46.9
21.9
75.4
40.0
28.5
24.8
45.2
56.3
51.6
52.9
77.4
37.5
20.2
25.8
18.5
34.8
9.8
33.5
18.9
64.5
26.9
32.3
89.3
11.6
35.8
19.2
51.3
20.3
22.6
