점수
87.0
33.9
32.7
9.4
14.6
38.7
95.6
69.8
23.7
83.0
80.1
64.4
17.9
60.1
65.6
18.4
55.7
15.0
51.7
16.8
21.4
51.8
38.1
43.5
65.2
18.7
71.3
89.5
82.1
81.2
86.2
76.1
78.4
64.0
27.2
65.5
17.9
67.5
73.7
68.0
80.2
38.6
29.7
48.4
42.3
50.5
66.4
21.5
71.7
27.9
27.9
27.9
29.8
57.2
45.9
77.8
6.9
28.9
21.7
59.4
23.1
66.6
14.4
22.9
44.8
24.4
25.5
63.5
65.8
37.2
66.7
42.9
47.4
71.8
10.3
62.1
69.9
32.8
62.1
42.3
62.1
45.6
23.1
73.1
83.5
73.5
38.9
26.3
36.5
8.1
61.9
71.7
19.2
60.6
49.1
51.0
52.1
60.3
83.8
78.0
67.8
78.6
51.6
83.8
74.3
79.1
16.5
0.0
33.1
51.1
